Acacia redolens;19;Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;30;60;305;610;8;11;1;12;-6.5;32;Acacia;redolens;;Acacia redolens;38;true;0;52;false;false;;A;65;4;2;1
Acacia retinodes;6586;Retinodes Water Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;7;Acacia;retinodes;;Acacia retinodes;1605;true;0;4;false;false;Acacia longissima, Acacia fragrans, Acacia rostellifera, Acacia retinoide, Acacia retinoides, Acacia semperflorens, Acacia rhetinoides;A;66;4;2;1
Acacia salicina;20;Native Willow;38;66;500;5000;10;40;10000;99000;38;44;32;38;288;0;0;760;1370;915;1220;10;11;1;12;4.5;7;Acacia;salicina;;Acacia salicina;39;true;0;52;false;false;Racosperma salicinum, Acacia varians, Acacia salix-tristis;A;67;4;2;1
Acacia stenophylla;9277;Shoestring Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;stenophylla;;Acacia stenophylla;3789;true;0;0;false;false;;A;68;4;2;1
Acacia stenophyllodes;22;Shoestring Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;455;760;610;915;9;11;1;12;-1;6;Acacia;stenophyllodes;;Acacia stenophyllodes;41;true;0;52;false;false;;A;69;4;2;1
Acacia trinervis;10199;Thorntree;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;trinervis;;Acacia trinervis;4220;true;0;0;false;false;;A;70;4;2;1
Acacia verticillata;9279;Prickly Moses;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;verticillata;;Acacia verticillata;3801;true;0;0;false;false;;A;71;4;2;1
Acacia willardiana;23;Willard's Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;455;760;305;455;9;11;1;12;-1;8;Acacia;willardiana;;Acacia willardiana;42;true;0;52;false;false;;A;72;4;2;1
Acalypha hispida;17;Chenille Plant;32;66;500;5000;18;30;2000;20000;32;38;26;32;288;0;0;150;305;60;185;10;11;6;12;4.5;12;Acalypha;hispida;;Acalypha hispida;36;true;0;164;false;false;;A;73;2;2;1
Acalypha wilkesiana;9282;Acalyphinae;32;66;500;5000;18;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;4.5;17;Acalypha;wilkesiana;;Acalypha wilkesiana;4073;true;0;0;false;false;;A;74;2;2;1
Acanthostachys pitcairnioides;8209;Acanthostachys;32;66;500;3000;15;25;300;6000;32;38;26;32;288;0;0;;;;;;;;;;2;Acanthostachys;pitcairnioides;;Acanthostachys pitcairnioides;3216;true;0;0;false;false;;A;75;1;2;1
Acanthostachys strobilacea;8210;Acanthostachys;32;66;500;3000;15;25;300;6000;32;38;26;32;288;0;0;;;;;;;;;;8;Acanthostachys;strobilacea;;Acanthostachys strobilacea;3217;true;0;0;false;false;;A;76;1;2;1
Acanthus balcanicus;6589;Acanthus;32;51;1000;3000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;-29;29;Acanthus;balcanicus;;Acanthus balcanicus;1608;true;0;132;false;false;;A;77;3;2;2
Acanthus mollis;6590;Bear's Breeches;32;51;1000;3000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;-29;8;Acanthus;mollis;;Acanthus mollis;1609;true;0;132;false;false;;A;78;3;2;2
Acanthus spinosus;21;Spiny Bear's Breeches;32;51;1000;3000;7;40;5000;99000;32;38;26;32;288;0;0;90;120;60;90;5;9;5;9;-23.5;3;Acanthus;spinosus;;Acanthus spinosus;40;true;0;164;false;false;;A;79;3;2;2
Acer buergerianum;24;Trident Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;760;1525;455;760;5;9;5;9;-23.5;21;Acer;buergerianum;;Acer buergerianum;43;true;0;160;false;false;;A;80;2;2;1
Acer campestre;25;Hedge Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;760;1065;760;1065;5;8;4;8;-23.5;8;Acer;campestre;;Acer campestre;44;true;0;160;false;false;;A;81;2;2;1
Acer capillipes;6592;Kyushu Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;5;Acer;capillipes;;Acer capillipes;1611;true;0;0;false;false;;A;82;2;2;1
Acer cappadocicum;6593;Cappadocian Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;cappadocicum;;Acer cappadocicum;1612;true;0;0;false;false;;A;83;2;2;1
Acer carpinifolium;6594;Hornbeam Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;3;Acer;carpinifolium;;Acer carpinifolium;1613;true;0;0;false;false;;A;84;2;2;1
Acer circinatum;48;Vine Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;305;915;305;610;6;9;4;9;-18;11;Acer;circinatum;;Acer circinatum;59;true;0;160;false;false;;A;85;2;2;1
Acer cissifolium;6595;Vine-Leafed Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;9;Acer;cissifolium;;Acer cissifolium;1614;true;0;0;false;false;;A;86;2;2;1
Acer davidii;26;Snakebark Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;760;1065;760;1065;5;7;5;7;-23.5;2;Acer;davidii;;Acer davidii;45;true;0;32;false;false;;A;87;2;2;1
Acer ginnala;6596;Amur Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;ginnala;;Acer ginnala;1615;true;0;128;false;false;;A;88;2;2;1
Acer glabrum;6597;Acer;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;10;Acer;glabrum;;Acer glabrum;1616;true;0;0;false;false;Acer barbatum;A;89;2;2;1
Acer griseum;27;Paperbark Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;455;760;455;760;4;8;1;8;-29;3;Acer;griseum;;Acer griseum;46;true;0;32;false;false;;A;90;2;2;1
Acer japonicum;28;Downy Japanese Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;305;455;185;305;5;7;1;7;-23.5;228;Acer;japonicum;;Acer japonicum;47;true;1;160;false;false;;A;91;2;2;1
Acer japonicum 'Aconitifolium';29;Fernleaf Full Moon Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;305;455;185;305;5;7;1;7;-23.5;0;Acer;japonicum;Aconitifolium;Acer japonicum;47;false;0;0;false;false;;A;92;2;2;1
Acer macrophyllum;49;Bigleaf Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;1525;2440;1370;2135;5;10;4;9;-23.5;4;Acer;macrophyllum;;Acer macrophyllum;60;true;0;32;false;false;;A;93;2;2;1
Acer maximowiczianum;6598;Nikko Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;9;Acer;maximowiczianum;;Acer maximowiczianum;1617;true;0;0;false;false;;A;94;2;2;1
Acer miyabei;6599;Miyabe's Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;miyabei;;Acer miyabei;1618;true;0;0;false;false;;A;95;2;2;1
Acer mono;6600;Painted Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;4;Acer;mono;;Acer mono;1619;true;0;0;false;false;;A;96;2;2;1
Acer monspessulanum;6601;Montpellier Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;monspessulanum;;Acer monspessulanum;1620;true;0;128;false;false;;A;97;2;2;1
Acer negundo;30;Box Elder;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;760;1065;760;1065;2;8;3;8;-40;17;Acer;negundo;;Acer negundo;48;true;1;32;false;false;;A;98;2;2;1
Acer negundo 'Variegatum';31;Boxelder;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;760;1065;760;1065;2;8;3;8;-40;0;Acer;negundo;Variegatum;Acer negundo;48;false;0;0;false;false;;A;99;2;2;1
Acer obtusifolium;6602;Syrian Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;3;Acer;obtusifolium;;Acer obtusifolium;1621;true;0;0;false;false;;A;100;2;2;1
